temp_c,pressure_bar,a_micro_per_bar_estimated,plot_x_px,plot_y_px
28.0,79.0,43.802187,132,377
30.0,79.0,43.621518,132,388
2.0,80.0,48.729497,134,77
4.0,80.0,48.13822,134,113
6.0,80.0,47.596215,134,146
8.0,80.0,47.021363,134,181
10.0,80.0,46.577905,134,208
12.0,80.0,46.200144,134,231
14.0,80.0,45.723838,134,260
16.0,80.0,45.313228,134,285
18.0,80.0,44.968317,134,306
20.0,80.0,44.656254,134,325
22.0,80.0,44.393464,134,341
24.0,80.0,44.179947,134,354
26.0,80.0,43.999279,134,365
28.0,80.0,43.785762,134,378
30.0,80.0,43.605094,134,389
2.0,81.0,48.713072,135,78
4.0,81.0,48.13822,135,113
6.0,81.0,47.579791,135,147
8.0,81.0,47.021363,135,181
10.0,81.0,46.577905,135,208
12.0,81.0,46.200144,135,231
14.0,81.0,45.723838,135,260
16.0,81.0,45.313228,135,285
18.0,81.0,44.951892,135,307
20.0,81.0,44.656254,135,325
22.0,81.0,44.393464,135,341
24.0,81.0,44.163523,135,355
26.0,81.0,43.982855,135,366
28.0,81.0,43.785762,135,378
30.0,81.0,43.605094,135,389
2.0,82.0,48.713072,137,78
4.0,82.0,48.121795,137,114
6.0,82.0,47.563367,137,148
8.0,82.0,47.004938,137,182
10.0,82.0,46.56148,137,209
12.0,82.0,46.18372,137,232
14.0,82.0,45.707413,137,261
16.0,82.0,45.296804,137,286
18.0,82.0,44.951892,137,307
20.0,82.0,44.639829,137,326
22.0,82.0,44.377039,137,342
24.0,82.0,44.147098,137,356
26.0,82.0,43.982855,137,366
28.0,82.0,43.769338,137,379
30.0,82.0,43.58867,137,390
2.0,83.0,48.696648,139,79
4.0,83.0,48.105371,139,115
6.0,83.0,47.563367,139,148
8.0,83.0,47.004938,139,182
10.0,83.0,46.545056,139,210
12.0,83.0,46.167295,139,233
14.0,83.0,45.707413,139,261
16.0,83.0,45.296804,139,286
18.0,83.0,44.935468,139,308
20.0,83.0,44.623405,139,327
22.0,83.0,44.360615,139,343
24.0,83.0,44.147098,139,356
26.0,83.0,43.96643,139,367
28.0,83.0,43.752913,139,380
30.0,83.0,43.572245,139,391
2.0,84.0,48.680224,140,80
4.0,84.0,48.105371,140,115
6.0,84.0,47.546942,140,149
8.0,84.0,46.988514,140,183
