temp_c,pressure_bar,public_a_estimated,local_a,delta,delta_pct
22.0,65.0,44.557707,44.544,0.013707,0.030772
24.0,65.0,44.327766,44.3175,0.010266,0.023165
2.0,66.0,48.860892,48.845,0.015892,0.032536
4.0,66.0,48.25319,48.2124,0.04079,0.084605
6.0,66.0,47.711186,47.6308,0.080386,0.168769
8.0,66.0,47.136333,47.0988,0.037533,0.07969
10.0,66.0,46.692875,46.6126,0.080275,0.172217
12.0,66.0,46.315115,46.166,0.149115,0.322997
14.0,66.0,45.855232,45.7684,0.086832,0.18972
16.0,66.0,45.461048,45.4062,0.054848,0.120794
18.0,66.0,45.116136,45.0806,0.035536,0.078828
20.0,66.0,44.804073,44.7904,0.013673,0.030527
22.0,66.0,44.557707,44.5328,0.024907,0.05593
24.0,66.0,44.327766,44.3062,0.021566,0.048675
2.0,67.0,48.844467,48.835,0.009467,0.019386
4.0,67.0,48.25319,48.2023,0.05089,0.105576
6.0,67.0,47.694762,47.6206,0.074162,0.155735
8.0,67.0,47.136333,47.0886,0.047733,0.101368
10.0,67.0,46.692875,46.6022,0.090675,0.194572
12.0,67.0,46.315115,46.1565,0.158615,0.343646
14.0,67.0,45.855232,45.7578,0.097432,0.21293
16.0,67.0,45.444623,45.3954,0.049223,0.108432
18.0,67.0,45.099712,45.0697,0.030012,0.06659
20.0,67.0,44.787649,44.7793,0.008349,0.018645
22.0,67.0,44.541283,44.5216,0.019683,0.04421
24.0,67.0,44.311342,44.2949,0.016442,0.037119
2.0,68.0,48.828043,48.825,0.003043,0.006232
4.0,68.0,48.236766,48.1922,0.044566,0.092476
6.0,68.0,47.694762,47.6104,0.084362,0.177192
8.0,68.0,47.119909,47.0784,0.041509,0.08817
10.0,68.0,46.676451,46.5918,0.084651,0.181686
12.0,68.0,46.29869,46.147,0.15169,0.32871
14.0,68.0,45.838808,45.7472,0.091608,0.200248
16.0,68.0,45.428199,45.3846,0.043599,0.096066
18.0,68.0,45.083287,45.0588,0.024487,0.054345
20.0,68.0,44.771224,44.7682,0.003024,0.006755
22.0,68.0,44.524859,44.5104,0.014459,0.032485
24.0,68.0,44.294918,44.2836,0.011318,0.025558
2.0,69.0,48.828043,48.815,0.013043,0.026719
4.0,69.0,48.236766,48.1821,0.054666,0.113457
6.0,69.0,47.678337,47.6002,0.078137,0.164153
8.0,69.0,47.119909,47.0682,0.051709,0.10986
10.0,69.0,46.676451,46.5814,0.095051,0.204054
12.0,69.0,46.29869,46.1375,0.16119,0.349369
14.0,69.0,45.838808,45.7366,0.102208,0.223471
16.0,69.0,45.428199,45.3738,0.054399,0.119891
18.0,69.0,45.083287,45.0479,0.035387,0.078554
20.0,69.0,44.771224,44.7571,0.014124,0.031557
22.0,69.0,44.524859,44.4992,0.025659,0.057662
24.0,69.0,44.294918,44.2723,0.022618,0.051088
2.0,70.0,48.811619,48.805,0.006619,0.013562
4.0,70.0,48.220341,48.172,0.048341,0.100351
6.0,70.0,47.678337,47.59,0.088337,0.185621
8.0,70.0,47.103484,47.058,0.045484,0.096655
10.0,70.0,46.660027,46.571,0.089027,0.191164
12.0,70.0,46.282266,46.128,0.154266,0.33443
14.0,70.0,45.822384,45.726,0.096384,0.210786
16.0,70.0,45.411775,45.363,0.048775,0.107522
18.0,70.0,45.066863,45.037,0.029863,0.066308
20.0,70.0,44.7548,44.746,0.0088,0.019667
22.0,70.0,44.508434,44.488,0.020434,0.045931
24.0,70.0,44.278493,44.261,0.017493,0.039522
2.0,71.0,48.811619,48.795,0.016619,0.034059
