temp_c,pressure_bar,b_micro_per_c,source_page
17.0,160.0,165.370000,58
18.0,160.0,175.560000,58
19.0,160.0,185.510000,58
20.0,160.0,195.240000,58
21.0,160.0,204.760000,58
22.0,160.0,214.080000,58
23.0,160.0,223.200000,58
24.0,160.0,232.140000,59
25.0,160.0,240.910000,59
26.0,160.0,249.520000,59
27.0,160.0,257.970000,59
28.0,160.0,266.280000,59
29.0,160.0,274.460000,59
30.0,160.0,282.490000,59
1.0,170.0,-40.670000,56
2.0,170.0,-24.230000,56
3.0,170.0,-8.400000,56
4.0,170.0,6.890000,56
5.0,170.0,21.640000,56
6.0,170.0,35.900000,56
7.0,170.0,49.690000,56
8.0,170.0,63.040000,56
9.0,170.0,75.970000,57
10.0,170.0,88.510000,57
11.0,170.0,100.680000,57
12.0,170.0,112.510000,57
13.0,170.0,124.010000,57
14.0,170.0,135.190000,57
15.0,170.0,146.080000,57
16.0,170.0,156.690000,58
17.0,170.0,167.050000,58
18.0,170.0,177.150000,58
19.0,170.0,187.020000,58
20.0,170.0,196.660000,58
21.0,170.0,206.100000,58
22.0,170.0,215.340000,58
23.0,170.0,224.390000,58
24.0,170.0,233.260000,59
25.0,170.0,241.960000,59
26.0,170.0,250.490000,59
27.0,170.0,258.880000,59
28.0,170.0,267.120000,59
29.0,170.0,275.230000,59
30.0,170.0,283.200000,59
1.0,180.0,-37.240000,56
2.0,180.0,-20.940000,56
3.0,180.0,-5.230000,56
4.0,180.0,9.940000,56
5.0,180.0,24.560000,56
6.0,180.0,38.700000,56
7.0,180.0,52.370000,56
8.0,180.0,65.620000,56
9.0,180.0,78.440000,57
10.0,180.0,90.870000,57
11.0,180.0,102.940000,57
12.0,180.0,114.660000,57
13.0,180.0,126.060000,57
14.0,180.0,137.150000,57
15.0,180.0,147.940000,57
16.0,180.0,158.470000,58
17.0,180.0,168.730000,58
18.0,180.0,178.750000,58
19.0,180.0,188.530000,58
20.0,180.0,198.090000,58
21.0,180.0,207.450000,58
22.0,180.0,216.610000,58
23.0,180.0,225.550000,58
24.0,180.0,234.380000,59
25.0,180.0,243.010000,59
26.0,180.0,251.470000,59
27.0,180.0,259.790000,59
28.0,180.0,267.970000,59
29.0,180.0,276.010000,59
30.0,180.0,283.920000,59
1.0,190.0,-33.830000,56
2.0,190.0,-17.650000,56
3.0,190.0,-2.060000,56
4.0,190.0,12.980000,56
5.0,190.0,27.480000,56
6.0,190.0,41.510000,56
7.0,190.0,55.060000,56
8.0,190.0,68.190000,56
9.0,190.0,80.910000,57
10.0,190.0,93.230000,57
11.0,190.0,105.190000,57
12.0,190.0,116.820000,57
13.0,190.0,128.120000,57
14.0,190.0,139.110000,57
15.0,190.0,149.810000,57
16.0,190.0,160.240000,58
17.0,190.0,170.420000,58
18.0,190.0,180.350000,58
19.0,190.0,190.050000,58
20.0,190.0,199.520000,58
21.0,190.0,208.800000,58
22.0,190.0,217.890000,58
23.0,190.0,226.790000,58
24.0,190.0,235.510000,59
25.0,190.0,244.060000,59
26.0,190.0,252.460000,59
27.0,190.0,260.710000,59
28.0,190.0,268.820000,59
29.0,190.0,276.800000,59
30.0,190.0,284.640000,59
1.0,200.0,-30.420000,56
2.0,200.0,-14.370000,56
3.0,200.0,1.090000,56
4.0,200.0,16.010000,56
5.0,200.0,30.400000,56
6.0,200.0,44.300000,56
7.0,200.0,57.750000,56
8.0,200.0,70.770000,56
9.0,200.0,83.370000,57
10.0,200.0,95.590000,57
11.0,200.0,107.450000,57
12.0,200.0,118.970000,57
13.0,200.0,130.170000,57
14.0,200.0,141.070000,57
15.0,200.0,151.680000,57
16.0,200.0,162.010000,58
17.0,200.0,172.100000,58
18.0,200.0,181.950000,58
19.0,200.0,191.570000,58
20.0,200.0,200.970000,58
21.0,200.0,210.160000,58
22.0,200.0,219.170000,58
23.0,200.0,227.990000,58
24.0,200.0,236.640000,59
25.0,200.0,245.120000,59
26.0,200.0,253.450000,59
